"Page title","Question","Hint","Answer 1","Answer 2","Answer 3","Answer 4","Answer 5","Answer 6","Answer 7","Answer 8","Answer 9"
"Service details","Service type","Select one option relevant to your service. For more detail on each category, please take a look at the National Institute of Standards and Technology (NIST) definitions of cloud computing services.","Infrastructure as a Service (IaaS)","Software as a Service (SaaS)","Platform as a Service (PaaS)","Specialist Cloud Services (SCS)","","","","",""
"Service type","Choose the categories that apply to your service","You can choose multiple categories.","Compute","Storage","","","","","","",""
"Service description","Service name","Include your product name only. Using additional keywords may impact your acceptance on to the Digital Marketplace.","","","","","","","","",""
"Service description","Service summary","Please provide a short description of your service. (Maximum 50 words.) You'll be asked to go into more detail about the features and benefits of your service on the next page. Company information should not be included here. You can provide a company description for your supplier page elsewhere.","","","","","","","","",""
"Features and benefits","Service features","Include the technical features of your product, eg graphical workflow, remote access. (Maximum 10 words per feature. Maximum 10 features.)","","","","","","","","",""
"Features and benefits","Service benefits","Include benefits that show how your service helps users improve their business. Use active phrases, eg publish content from multiple devices, quickly manage content on the move.  (Maximum 10 words per benefit. Maximum 10 benefits.)","","","","","","","","",""
"Service definition","Service definition document","Please upload your service definition. Refer to the ITT documentation for further guidance on what to include. This document will not be indexed by search on the Digital Marketplace. Use an open document format, eg odf, pdf or pda. (Maximum file size 5MB.)","","","","","","","","",""
"Terms and conditions","Termination cost","","Yes","No","","","","","","",""
"Terms and conditions","Minimum contract period","","Hour","Day","Month","Year","Other","","","",""
"Terms and conditions","Please upload your terms and conditions document","Please upload your terms and conditions document. This document will not be indexed by search on the Digital Marketplace. Use an open document format, eg odf, pdf or pda. (Maximum file size 5MB.)","","","","","","","","",""
"Pricing","Service price","This is an indicative price. Users will be able to refer to your pricing document for more information.","","","","","","","","",""
"Pricing","VAT included","","Yes","No","","","","","","",""
"Pricing","Education pricing","Do you offer special pricing for educational organisations?","Yes","No","","","","","","",""
"Pricing","Trial option","","Yes","No","","","","","","",""
"Pricing","Free option","","Yes","No","","","","","","",""
"Pricing","Pricing document","Please upload your pricing document. This document will not be indexed by search on the Digital Marketplace. Use an open document format, eg odf, pdf or pda. (Maximum file size 5MB.)","","","","","","","","",""
"Pricing","Skills Framework for the Information Age (SFIA) rate card","Please upload your SFIA rate card if you have one. This document will not be indexed by search on the Digital Marketplace. Use an open document format, eg odf, pdf or pda. (Maximum file size 5MB.)","","","","","","","","",""
"Open standards","Open standards supported and documented","Take a look at the GOV.UK Open Standards principles for more information on open standards.","Yes","No","","","","","","",""
"Support","Support service type","Choose all that apply.","Service desk","Email","Phone","Live chat","Onsite","","","",""
"Support","Support accessible to any third-party suppliers","","Yes","No","","","","","","",""
"Support","Support availablility","eg 24/7 or 9 to 5. (Maximum 20 words.)","","","","","","","","",""
"Support","Standard support response times","How long will it take until support can begin to be provided? eg 1 hour or 1 business day. (Maximum 20 words.)","","","","","","","","",""
"Support","Incident escalation process available","","Yes","No","","","","","","",""
"Onboarding and offboarding","Service onboarding process included","","Yes","No","","","","","","",""
"Onboarding and offboarding","Service offboarding process included","","Yes","No","","","","","","",""
"Analytics","Real-time management information available","","Yes","No","","","","","","",""
"Cloud features","Elastic cloud approach supported","","Yes","No","","","","","","",""
"Cloud features","Guaranteed resources defined","","Yes","No","","","","","","",""
"Cloud features","Persistent storage supported","","Yes","No","","","","","","",""
"Provisioning","Self-service provisioning supported","","Yes","No","","","","","","",""
"Provisioning","Service provisioning time","How long does it take to get your service up and running? For example 1 to 5 hours, 2 to 3 days.","","","","","","","","",""
"Provisioning","Service deprovisioning time","","","","","","","","","",""
"Open source","Open-source software used and supported","","Yes","No","","","","","","",""
"API access","API access available and supported","","Yes","No","","","","","","",""
"API access","API type","Examples of API include RESTful and SOAP.","","","","","","","","",""
"Networks and connectivity","Networks the service is directly connected to","Choose all that apply.","Internet","Public Services Network (PSN)","Government Secure intranet (GSi)","Police National Network (PNN)","New NHS Network (N3)","Joint Academic Network (JANET)","Other","",""
"Access","Supported web browsers","Choose all that apply.","Internet Explorer","Firefox","Chrome","Safari","Opera","","","",""
"Access","Offline working and syncing supported","","Yes","No","","","","","","",""
"Access","Supported devices","Choose all that apply.","PC","Mac","Smartphone","Tablet","","","","",""
"Certifications","Vendor certification(s)","Examples of certifications include VMware Certified Professional and Oracle Gold Partner. (Optional.)","","","","","","","","",""
"Data storage","Datacentres adhere to EU Code of Conduct for Operations","","Yes","No","","","","","","",""
"Data storage","User-defined data location","","Yes","No","","","","","","",""
"Data storage","Datacentre tier","Choose one","TIA-942 Tier 1","TIA-942 Tier 2","TIA-942 Tier 3","TIA-942 Tier 4","Uptime Institute Tier 1","Uptime Institute Tier 2","Uptime Institute Tier 3","Uptime Institute Tier 4",""
"Data storage","Backup, disaster recovery and resilience plan in place","You can provide more detail on your disaster recovery plan in your service definition document.","Yes","No","","","","","","",""
"Data storage","Data extraction/removal plan in place","","Yes","No","","","","","","",""
"Data-in-transit protection","Data protection between user device and service","Choose 1","CAPS-encrypted","Encrypted community WAN service","IPSec VPN Gateway - CPA","TLS, version 1.2 or later, encrypted","Legacy SSL or TLS-encrypted","Bonded fibre optic connections","Community WAN service","Not encrypted",""
"Data-in-transit protection","Data protection within service","Choose 1","CAPS-encrypted","Encrypted community WAN service","IPSec VPN Gateway - CPA","TLS, version 1.2 or later, encrypted","Legacy SSL or TLS-encrypted","Bonded fibre optic connections","Community WAN service","Not encrypted",""
"Data-in-transit protection","Data protection between services","Choose 1","CAPS-encrypted","Encrypted community WAN service","IPSec VPN Gateway - CPA","TLS, version 1.2 or later, encrypted","Legacy SSL or TLS-encrypted","Bonded fibre optic connections","Community WAN service","Not encrypted",""
"Asset protection and resilience","Datacentre location","Where are the service provider's datacentres located? Choose all that apply.","UK","EU","USA - Safe Harbor","Other countries with data protection treaties","Other countries","","","",""
"Asset protection and resilience","Data management location","Where are the services managed from? Choose all that apply.","UK","EU","USA - Safe Harbor","Other countries with data protection treaties","Other countries","","","",""
"Asset protection and resilience","Legal jurisdiction of service provider","Choose 1","UK","EU","USA - Safe Harbor","Other countries with data protection treaties","Other countries","","","",""
"Asset protection and resilience","Datacentre protection","Do the datacentres where your consumer data is located have suitable physical security?","Yes","No","","","","","","",""
"Asset protection and resilience","Data-at-rest protection","How is storage containing consumer data-at-rest protected from unauthorised access? Choose 1.","CAPS-assured components","Foundation grade-assured components","FIPS-assured encryption","Other encryption","Secure containers or cages","No protection","","",""
"Asset protection and resilience","Secure data deletion","How do you erase consumer data when resources are moved or re-provisioned, or when the consumer leaves the service, or when they request it to be erased? Choose 1.","CPA Foundation","CESG-assured product","CPNI-approved erasure","Other secure erasure","Other erasure process","","","",""
"Asset protection and resilience","Storage media disposal","How is storage media containing consumer data sanitised or securely destroyed at the end of its usable lifetime? Choose 1.","CESG-assured destruction service (CAS(T))","CPA Foundation-assured product","CPNI-approved destruction service","BS EN 151713:2009-compliant destruction","CESG-approved erasure","Other secure erasure","Other destruction/erasure process","",""
"Asset protection and resilience","Secure equipment disposal","Is all equipment potentially containing consumer data, credentials or configuration information identified at the end of its life or prior to being recycled? Choose 1.","Yes","No","","","","","","",""
"Asset protection and resilience","Secure component disposal","How are any components containing sensitive data sanitised, removed or destroyed? Choose 1.","CESG-assured destruction service (CAS)","CPA Foundation Assured Product","CPNI-approved destruction service","BS EN 151713:2009-compliant destruction","CESG or CPNI-approved erasure","Other secure erasure","Other destruction/erasure process","",""
"Asset protection and resilience","Redundant equipment accounts revoked","Are accounts or credentials specific to redundant equipment revoked to reduce their value to an attacker?","Yes","No","","","","","","",""
"Asset protection and resilience","Service availability (%)","What is the availability of the service? eg 99.99%","","","","","","","","",""
"Separation between consumers","Cloud deployment model","Is the service a public, private, community or hybrid cloud service?","Public cloud","Community cloud","Private cloud","Hybrid cloud","","","","",""
"Separation between consumers","Type of consumer","What types of other consumer do your consumers share the service or platform with?","No other consumer","Only government","A specific group","Anyone - public","","","","",""
"Separation between consumers","Services separation","Do you provide separation of consumer data and service from other consumers of the service?","Yes","No","","","","","","",""
"Separation between consumers","Services management separation","Is the management of a consumer’s service kept separate from other consumers?","Yes","No","","","","","","",""
"Governance","Governance framework","Do you have a governance framework and process in place for the service, eg ISO277001:2013?","Yes","No","","","","","","",""
"Configuration and change management","Configuration and change management tracking","Are the status, location and configuration of service components tracked throughout their lifetime?","Yes","No","","","","","","",""
"Configuration and change management","Change impact assessment","Are changes to the service assessed for potential security impact? And are changes managed and tracked through to completion?","Yes","No","","","","","","",""
"Vulnerabilility management","Vulnerability assessment","Are potential new threats, vulnerabilities or exploitation techniques which could affect the service assessed, and are corrective actions taken?","Yes","No","","","","","","",""
"Vulnerabilility management","Vulnerability monitoring","Do you monitor relevant sources of information relating to threat, vulnerability and exploitation techniques?","Yes","No","","","","","","",""
"Vulnerabilility management","Vulnerability mitigation prioritisation","Are the severity of threats and vulnerabilities considered within the context of the service and do you use this information to prioritise implementation of mitigations?","Yes","No","","","","","","",""
"Vulnerabilility management","Complete vulnerability change-management process","Are known vulnerabilities within the service tracked until suitable mitigations have been deployed through a suitable change-management process?","Yes","No","","","","","","",""
"Vulnerabilility management","Vulnerability mitigation timescales","Do you make timescales for implementing mitigations to vulnerabilities available to buyers?","Yes","No","","","","","","",""
"Protective monitoring","Protective monitoring","Do you conduct protective monitoring and analysis to identify suspicious activity?","Yes","No","","","","","","",""
"Incident management","Incident management processes","Do you have incident management processes in place and are they enacted in response to security incidents?","Yes","No","","","","","","",""
